Date,INFY,BSOFT,BBOX,ACCELYA,HBLPOWER,BOSCHLTD,NCC,AUROPHARMA,NATCOPHARM,SHRIRAMFIN,HINDUNILVR,SBIN,DRREDDY,BHARTIARTL,ONGC,IN5Y,IN10Y,Inflation,GDP,Unemployment,Repo Rate,Corporate Tax rate,IIP,Exchange Rate
2018-12-20,586.309814453125,130.6388397216800,14.0600004196167,773.8977661132810,28.28574752807620,18421.21875,82.27499389648440,698.29931640625,650.399169921875,1137.6575927734400,1703.140869140630,276.7728881835940,2542.453369140630,281.7201843261720,105.2446060180660,7.243,7.272,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-21,567.9833984375,127.76044464111300,14.149999618530300,771.8267211914060,27.571462631225600,18694.755859375,78.40107727050780,693.53564453125,648.8306274414060,1077.861083984380,1674.5887451171900,274.74920654296900,2522.720947265630,274.0219116210940,105.17376708984400,7.194,7.276,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-22,567.9833984375,127.76044464111300,14.149999618530300,771.8267211914060,27.571462631225600,18694.755859375,78.40107727050780,693.53564453125,648.8306274414060,1077.861083984380,1674.5887451171900,274.74920654296900,2522.720947265630,274.0219116210940,105.17376708984400,7.194,7.276,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-23,567.9833984375,127.76044464111300,14.149999618530300,771.8267211914060,27.571462631225600,18694.755859375,78.40107727050780,693.53564453125,648.8306274414060,1077.861083984380,1674.5887451171900,274.74920654296900,2522.720947265630,274.0219116210940,105.17376708984400,7.194,7.276,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-24,570.4446411132810,124.56856536865200,14.09000015258790,779.9480590820310,27.571462631225600,18241.251953125,76.55633544921880,688.4830322265630,659.7158203125,1077.1429443359400,1657.0860595703100,275.8316650390630,2514.740966796880,275.08990478515600,104.74883270263700,7.217,7.287,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-25,570.4446411132810,124.56856536865200,14.09000015258790,779.9480590820310,27.571462631225600,18241.251953125,76.55633544921880,688.4830322265630,659.7158203125,1077.1429443359400,1657.0860595703100,275.8316650390630,2514.740966796880,275.08990478515600,104.74883270263700,7.217,7.287,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-26,566.0936889648440,123.22914123535200,14.399999618530300,771.5423583984380,27.666696548461900,18345.5859375,77.43258666992190,691.4664916992190,642.603759765625,1095.4141845703100,1663.5394287109400,276.8670349121090,2536.504638671880,285.1910705566410,103.828125,7.157,7.263,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-27,577.3003540039060,125.50904083252000,14.460000038147000,763.9893798828130,27.3333683013916,18235.28515625,77.43258666992190,685.066650390625,651.2547607421880,1101.384521484380,1685.173828125,274.9844970703130,2502.794921875,281.8536376953130,106.02366638183600,7.193,7.277,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-28,577.4323120117190,124.19810485839800,14.789999961853000,769.6744995117190,27.42860412597660,18442.546875,79.83074188232420,696.71142578125,649.5912475585940,1099.364501953130,1691.812744140630,277.47882080078100,2536.11767578125,281.7201843261720,106.59026336669900,7.216,7.391,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-29,577.4323120117190,124.19810485839800,14.789999961853000,769.6744995117190,27.42860412597660,18442.546875,79.83074188232420,696.71142578125,649.5912475585940,1099.364501953130,1691.812744140630,277.47882080078100,2536.11767578125,281.7201843261720,106.59026336669900,7.216,7.391,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-30,577.4323120117190,124.19810485839800,14.789999961853000,769.6744995117190,27.42860412597660,18442.546875,79.83074188232420,696.71142578125,649.5912475585940,1099.364501953130,1691.812744140630,277.47882080078100,2536.11767578125,281.7201843261720,106.59026336669900,7.216,7.391,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2018-12-31,579.1902465820310,124.31208801269500,14.899999618530300,771.5018310546880,27.476226806640600,18425.115234375,81.30652618408200,705.3727416992190,646.5014038085940,1113.281005859380,1689.584228515630,278.5141906738280,2530.894287109380,278.1157531738280,106.1653060913090,7.24,7.37,2.5,6.453851,7.65,6.375,34.61,130.1,68.3734
2019-01-01,584.5519409179690,123.74211120605500,14.600000381469700,771.5423583984380,27.476226806640600,18392.513671875,81.99829864501950,705.5652465820310,660.095947265625,1104.1231689453100,1672.3602294921900,281.996826171875,2521.753662109380,284.3455810546880,105.17376708984400,7.324,7.418,6.7,3.871437,6.51,5.85,25.17,129.0,70.3777
2019-01-02,588.0676879882810,123.14364624023400,14.75,771.0550537109380,27.3333683013916,18299.783203125,82.64395904541020,697.0963134765630,664.2313842773440,1073.2823486328100,1657.0396728515600,276.6317443847660,2515.94970703125,278.249267578125,104.1468276977540,7.215,7.354,6.7,3.871437,6.51,5.85,25.17,129.0,70.3777
2019-01-03,588.1555786132810,120.63571166992200,16.959999084472700,770.12109375,26.714319229126000,18132.59765625,81.99829864501950,688.96435546875,661.7596435546880,1035.1239013671900,1660.568115234380,273.9962463378910,2493.025634765630,279.0057983398440,100.85350036621100,7.329,7.427,6.7,3.871437,6.51,5.85,25.17,129.0,70.3777
2019-01-04,581.0360107421880,119.9517593383790,20.350000381469700,766.7913818359380,26.14289093017580,18263.095703125,81.76770782470700,698.5399169921880,668.699462890625,1043.8780517578100,1654.3470458984400,280.161376953125,2514.934326171880,286.97100830078100,103.1906967163090,7.323,7.448,6.7,3.871437,6.51,5.85,25.17,129.0,70.3777
2019-01-05,581.0360107421880,119.9517593383790,20.350000381469700,766.7913818359380,26.14289093017580,18263.095703125,81.76770782470700,698.5399169921880,668.699462890625,1043.8780517578100,1654.3470458984400,280.161376953125,2514.934326171880,286.97100830078100,103.1906967163090,7.323,7.448,6.7,3.871437,6.51,5.85,25.17,129.0,70.3777
2019-01-06,581.0360107421880,119.9517593383790,20.350000381469700,766.7913818359380,26.14289093017580,18263.095703125,81.76770782470700,698.5399169921880,668.699462890625,1043.8780517578100,1654.3470458984400,280.161376953125,2514.934326171880,286.97100830078100,103.1906967163090,7.323,7.448,6.7,3.871437,6.51,5.85,25.17,129.0,70.3777
2019-01-07,590.3969116210940,118.52681732177700,24.100000381469700,769.8369140625,26.09527015686040,18330.412109375,81.1220474243164,697.4813842773440,664.5641479492190,1056.1331787109400,1657.3646240234400,278.89068603515600,2474.93701171875,289.1959228515630,104.7134246826170,7.393,7.508,6.7,3.871437,6.51,5.85,25.17,129.0,70.3777
2019-01-08,588.9466552734380,117.89984130859400,21.71999931335450,760.8219604492190,26.714319229126000,18133.30078125,81.85993957519530,718.4610595703130,661.8546752929690,1070.90283203125,1644.2723388671900,287.3619079589840,2486.3994140625,293.0227966308590,104.43012237548800,7.291,7.454,6.7,3.871437,6.51,5.85,25.17,129.0,70.3777
2019-01-09,594.2642211914060,118.18482208252000,21.239999771118200,762.771240234375,27.047651290893600,18298.419921875,83.61243438720700,728.758544921875,652.966064453125,1086.345703125,1657.4110107421900,287.3619079589840,2517.93310546875,297.69512939453100,102.90739440918000,7.322,7.47,6.7,3.871437,6.51,5.85,25.17,129.0,70.3777
